単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/01/01,00:00,11454,0,5112,3042,0,486,604,2,546,0,0,218,0,448,0,964,32,11454
2026/01/01,00:30,11166,0,4560,3122,0,474,590,2,544,0,0,232,0,508,2,1100,32,11166
2026/01/01,01:00,11062,0,3892,3186,0,452,604,2,544,0,0,240,0,402,2,1692,46,11062
2026/01/01,01:30,10940,0,3740,3170,0,442,590,2,544,0,0,238,0,308,2,1864,40,10940
2026/01/01,02:00,10940,0,3992,3032,0,446,600,2,544,0,0,240,0,316,0,1746,22,10940
2026/01/01,02:30,10946,0,4060,2802,0,466,584,2,540,0,0,246,0,310,0,1918,18,10946
2026/01/01,03:00,11006,0,4210,2718,0,426,610,2,550,0,0,270,0,486,0,1726,8,11006
2026/01/01,03:30,10902,0,4306,2712,0,440,584,2,548,0,0,270,0,594,0,1436,10,10902
2026/01/01,04:00,10820,0,3916,2710,0,450,578,0,548,0,0,266,0,290,0,2046,16,10820
2026/01/01,04:30,10740,0,4102,2708,0,474,560,2,544,0,0,252,0,204,0,1878,16,10740
2026/01/01,05:00,10712,0,4126,2690,0,464,588,2,548,0,0,264,0,204,2,1790,34,10712
2026/01/01,05:30,10598,0,4482,2440,0,452,592,2,546,0,0,258,0,284,0,1508,34,10598
2026/01/01,06:00,10646,0,4484,2360,0,444,570,2,542,0,0,252,0,340,0,1640,12,10646
2026/01/01,06:30,10758,0,4870,2334,0,456,534,2,546,0,0,250,0,350,0,1402,14,10758
2026/01/01,07:00,10932,0,5064,2154,0,422,498,2,544,92,0,246,0,466,0,1450,-6,10932
2026/01/01,07:30,11312,0,4672,2014,0,416,496,2,546,750,0,234,0,440,0,1746,-4,11312
2026/01/01,08:00,11396,0,4292,1828,0,394,500,2,546,1688,0,226,0,812,0,1114,-6,11396
2026/01/01,08:30,11404,0,3308,1670,0,398,506,2,548,2976,0,234,0,342,2,1422,-4,11404
2026/01/01,09:00,11168,0,2780,1438,0,406,496,2,548,4194,0,234,0,-76,0,1152,-6,11168
2026/01/01,09:30,10854,0,2694,1172,0,360,482,2,544,5092,0,226,0,-1162,0,1448,-4,10854
2026/01/01,10:00,10466,0,2884,1060,0,312,492,2,542,5524,0,226,0,-1746,0,1176,-6,10466
2026/01/01,10:30,10072,0,2830,1048,0,302,480,2,536,5960,0,218,0,-2012,2,714,-8,10072
2026/01/01,11:00,9888,0,2960,1064,0,316,494,2,540,6246,0,218,0,-2182,0,236,-6,9888
2026/01/01,11:30,9600,0,3086,1078,0,312,484,2,546,6144,0,196,0,-2038,2,-208,-4,9600
2026/01/01,12:00,9682,0,3072,1106,0,308,482,0,542,6124,0,202,0,-1946,0,-202,-6,9682
2026/01/01,12:30,9620,0,3014,1196,0,312,498,2,544,5716,0,198,0,-1722,0,-132,-6,9620
2026/01/01,13:00,9378,0,2818,1230,0,302,508,2,544,5304,0,196,0,-1704,0,184,-6,9378
2026/01/01,13:30,9504,0,2944,1218,0,310,502,2,546,5144,0,174,0,-2068,0,738,-6,9504
2026/01/01,14:00,9434,0,3236,1230,0,356,530,2,548,4276,0,196,0,-1858,0,924,-6,9434
2026/01/01,14:30,9518,0,3238,1288,0,352,548,2,542,3248,0,206,0,-1238,0,1340,-8,9518
2026/01/01,15:00,9640,0,3582,1390,0,412,622,2,548,2116,0,180,0,-558,2,1348,-4,9640
2026/01/01,15:30,9936,0,4164,1638,0,434,672,2,550,1088,0,162,0,102,0,1130,-6,9936
2026/01/01,16:00,10434,0,4310,1814,0,406,798,2,554,338,0,164,0,558,6,1490,-6,10434
2026/01/01,16:30,11114,0,4728,1896,0,392,864,2,564,24,0,168,0,1336,8,1140,-8,11114
2026/01/01,17:00,11792,0,4954,2118,0,442,874,2,568,0,0,160,0,1220,14,1438,2,11792
2026/01/01,17:30,12104,0,5012,2308,0,416,882,2,568,0,0,146,0,1260,16,1490,4,12104
2026/01/01,18:00,12254,0,5440,2626,0,408,844,2,568,0,0,158,0,862,16,1328,2,12254
2026/01/01,18:30,12292,0,5336,2882,0,412,844,2,566,0,0,158,0,850,16,1226,0,12292
2026/01/01,19:00,12368,0,4980,3104,0,422,870,0,578,0,0,148,0,838,14,1414,0,12368
2026/01/01,19:30,12364,0,4904,3168,0,440,878,2,586,0,0,138,0,824,12,1410,2,12364
2026/01/01,20:00,12472,0,5172,3186,0,444,812,2,588,0,0,134,0,794,4,1332,4,12472
2026/01/01,20:30,12442,0,5614,3166,0,432,744,2,584,0,0,126,0,496,2,1274,2,12442
2026/01/01,21:00,12422,0,5566,3190,0,438,630,2,584,0,0,124,0,532,4,1352,0,12422
2026/01/01,21:30,12214,0,5334,3166,0,460,590,2,586,0,0,128,0,406,0,1542,0,12214
2026/01/01,22:00,12002,0,5308,3186,0,426,586,2,584,0,0,120,0,242,0,1550,-2,12002
2026/01/01,22:30,11586,0,4984,3174,0,446,566,2,588,0,0,114,0,12,0,1700,0,11586
2026/01/01,23:00,11588,0,4814,3178,0,450,570,2,586,0,0,112,0,4,0,1874,-2,11588
2026/01/01,23:30,11314,0,4866,3176,0,452,600,2,586,0,0,122,0,2,0,1508,0,11314
2026/01/02,00:00,11028,0,4492,3184,0,440,532,2,586,0,0,148,0,4,0,1644,-4,11028
2026/01/02,00:30,10746,0,4156,3168,0,422,516,2,588,0,0,158,0,18,2,1716,0,10746
2026/01/02,01:00,10618,0,3946,3178,0,428,510,2,588,0,0,164,0,32,0,1774,-4,10618
2026/01/02,01:30,10636,0,3680,3170,0,428,504,2,584,0,0,168,0,24,0,2080,-4,10636
2026/01/02,02:00,10762,0,3616,3186,0,422,526,2,586,0,0,166,0,28,0,2234,-4,10762
2026/01/02,02:30,10850,0,3622,3170,0,424,496,0,586,0,0,154,0,20,0,2378,0,10850
2026/01/02,03:00,10948,0,3466,3190,0,412,516,2,586,0,0,138,0,4,0,2638,-4,10948
2026/01/02,03:30,10864,0,3450,3164,0,432,504,2,586,0,0,142,0,2,0,2586,-4,10864
2026/01/02,04:00,10840,0,3410,3176,0,440,508,2,588,0,0,152,0,2,0,2566,-4,10840
2026/01/02,04:30,10776,0,3596,3160,0,422,504,2,586,0,0,142,0,4,0,2362,-2,10776
2026/01/02,05:00,10794,0,3800,3178,0,434,516,2,588,0,0,138,0,4,0,2140,-6,10794
2026/01/02,05:30,10768,0,4018,3164,0,454,516,2,584,0,0,142,0,94,0,1792,2,10768
2026/01/02,06:00,10972,0,4238,3176,0,436,512,2,586,0,0,150,0,176,2,1698,-4,10972
2026/01/02,06:30,11244,0,4860,3168,0,472,526,2,584,0,0,158,0,142,0,1330,2,11244
2026/01/02,07:00,11584,0,4976,3182,0,436,520,2,586,80,0,166,0,400,2,1224,10,11584
2026/01/02,07:30,11974,0,4474,3152,0,434,506,2,582,708,0,154,0,506,2,1448,6,11974
2026/01/02,08:00,12250,0,3952,3088,0,464,488,2,582,1708,0,148,0,366,0,1444,8,12250
2026/01/02,08:30,12122,0,3358,2942,0,448,482,2,582,2756,0,146,0,98,0,1300,8,12122
2026/01/02,09:00,11906,0,3256,2480,0,420,484,2,576,3738,0,166,0,-184,4,954,10,11906
2026/01/02,09:30,11580,0,3456,1968,0,450,470,0,572,4484,0,164,0,-580,2,586,8,11580
2026/01/02,10:00,11368,0,2924,1808,0,446,472,2,574,5136,0,168,0,-1474,2,1300,10,11368
