単位[MW平均],,,供給力,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/06/01,00:00,9900,0,4922,2096,0,244,0,1248,2,394,0,0,0,6,0,12,0,902,74,9900
2026/06/01,00:30,9576,0,4776,2092,0,242,0,1218,2,394,0,0,0,10,0,10,6,764,62,9576
2026/06/01,01:00,9326,0,4268,2098,0,230,0,1208,2,380,0,0,0,6,0,18,2,1060,54,9326
2026/06/01,01:30,9186,0,4144,2092,0,230,0,1188,2,390,0,0,0,6,0,14,2,1064,54,9186
2026/06/01,02:00,9180,0,3798,2098,0,230,0,1196,2,388,0,0,0,6,0,18,0,1388,56,9180
2026/06/01,02:30,9410,0,3804,2090,0,230,0,1182,2,404,0,0,0,10,0,14,0,1620,54,9410
2026/06/01,03:00,9612,0,3650,2098,0,230,0,1240,2,406,0,0,0,8,0,22,4,1892,60,9612
2026/06/01,03:30,9880,0,3948,2092,0,238,0,1228,0,424,0,0,0,14,0,26,2,1852,56,9880
2026/06/01,04:00,9978,0,4172,2096,0,236,0,1240,2,422,0,0,0,6,0,82,4,1656,62,9978
2026/06/01,04:30,10224,0,4050,2092,0,244,0,1240,2,434,0,14,0,8,0,32,6,2040,62,10224
2026/06/01,05:00,10338,0,4468,2098,0,248,0,1060,0,434,0,180,0,4,0,34,2,1744,66,10338
2026/06/01,05:30,10356,0,3952,2056,0,270,0,994,2,442,0,752,0,6,0,-220,4,2038,60,10356
2026/06/01,06:00,10790,0,4500,2098,0,284,0,1010,2,414,0,1714,0,6,0,-460,6,1176,40,10790
2026/06/01,06:30,11164,0,3684,2026,0,266,0,970,2,404,0,2906,0,6,0,-482,2,1340,40,11164
2026/06/01,07:00,12064,0,3928,1892,0,256,0,874,2,382,0,4222,0,2,0,-476,2,942,38,12064
